timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1780445489,0.00,1270008,5759708,47,160,2.484,0,0.000,463360,1003520,59223
1780445490,0.00,1270008,5759708,47,160,2.484,0,0.000,463360,1003520,59223
1780445491,0.00,1270008,5759708,47,160,2.484,0,0.000,463360,1003520,59223
1780445492,12.31,1270052,5770972,98,160,2.484,0,0.000,476672,1003520,59223
1780445493,13.07,1270052,5770972,98,160,2.484,0,0.000,487936,1003520,59223
1780445494,13.02,1270052,5770972,98,160,2.484,0,0.000,499200,1003520,59223
1780445496,11.48,1270052,5770972,98,160,2.484,0,0.000,510464,1003520,59223
1780445497,13.25,1270068,5770972,97,160,2.484,0,0.000,521728,1003520,59223
1780445498,13.22,1270068,5770972,97,160,2.484,0,0.000,534016,1003520,59223
1780445499,12.23,1270068,5770972,97,160,2.484,0,0.000,545280,1003520,59223
1780445500,13.16,1270068,5770972,97,160,2.484,0,0.000,556544,1003520,59223
1780445501,11.48,1270068,5770972,97,160,2.484,0,0.000,567808,1003520,59223
1780445502,13.33,1270068,5770972,97,160,2.484,0,0.000,578048,1003520,59223
1780445504,11.30,1270068,5770972,97,160,2.484,0,0.000,590336,1003520,59223
1780445505,14.13,1270068,5770972,97,160,2.484,0,0.000,601600,1003520,59223
1780445506,12.15,1270068,5770972,97,160,2.484,0,0.000,612864,1003520,59223
1780445507,12.42,1270068,5770972,97,160,2.484,0,0.000,624128,1003520,59223
1780445508,13.25,1270068,5770972,97,160,2.484,0,0.000,635392,1003520,59223
1780445509,12.25,1270068,5770972,97,160,2.484,0,0.000,647680,1003520,59223
1780445510,13.13,1270068,5770972,97,160,2.484,0,0.000,658944,1003520,59223
1780445512,12.33,1270068,5770972,97,160,2.484,0,0.000,671232,1003520,59223
1780445513,12.12,1270068,5770972,97,160,2.484,0,0.000,682496,1003520,59223
1780445514,12.15,1270068,5770972,97,160,2.484,0,0.000,693760,1003520,59223
1780445515,13.91,1270068,5770972,97,160,2.484,0,0.000,706048,1003520,59223
1780445516,11.43,1270068,5770972,97,160,2.484,0,0.000,717312,1003520,59223
1780445517,13.02,1270068,5770972,97,160,2.484,0,0.000,728576,1003520,59223
1780445518,14.69,1270068,5770972,97,161,2.492,0,0.000,342016,1039360,59223
1780445520,12.23,1270068,5770972,97,161,2.492,0,0.000,354304,1039360,59223
1780445521,13.39,1270068,5770972,97,161,2.492,0,0.000,364544,1039360,59223
1780445522,11.40,1270068,5770972,97,161,2.492,0,0.000,375808,1039360,59223
1780445523,12.44,1270068,5770972,97,161,2.492,0,0.000,387072,1039360,59223
1780445524,12.47,1270068,5770972,97,161,2.492,0,0.000,398336,1039360,59223
1780445525,12.39,1270068,5770972,97,161,2.492,0,0.000,409600,1039360,59223
