timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1780454043,0.00,652712,5759160,47,115,0.867,0,0.000,198144,465920,59223
1780454045,0.00,652712,5759160,47,115,0.867,0,0.000,198144,465920,59223
1780454046,0.00,652712,5759160,47,115,0.867,0,0.000,198144,465920,59223
1780454047,11.61,652756,5770424,98,115,0.867,0,0.000,211456,465920,59223
1780454048,13.33,652756,5770424,98,115,0.867,0,0.000,223744,465920,59223
1780454049,12.28,652756,5770424,98,115,0.867,0,0.000,233984,465920,59223
1780454050,12.39,652756,5770424,98,115,0.867,0,0.000,245248,465920,59223
1780454051,13.33,652756,5770424,97,115,0.867,0,0.000,256512,465920,59223
1780454053,12.44,652756,5770424,97,115,0.867,0,0.000,267776,465920,59223
1780454054,13.16,652756,5770424,97,115,0.867,0,0.000,280064,465920,59223
1780454055,13.97,652756,5770424,97,115,0.867,0,0.000,290304,465920,59223
1780454056,12.42,652756,5770424,97,115,0.867,0,0.000,302592,465920,59223
1780454057,12.33,652756,5770424,97,115,0.867,0,0.000,312832,465920,59223
1780454058,12.02,652756,5770424,97,115,0.867,0,0.000,324096,465920,59223
1780454059,12.17,652756,5770424,97,115,0.867,0,0.000,336384,465920,59223
1780454061,13.07,652756,5770424,97,115,0.867,0,0.000,347648,465920,59223
1780454062,12.47,652756,5770424,97,115,0.867,0,0.000,358912,465920,59223
1780454063,12.39,652756,5770424,97,115,0.867,0,0.000,370176,465920,59223
1780454064,13.33,652756,5770424,97,115,0.867,0,0.000,381440,465920,59223
1780454065,12.36,652756,5770424,97,115,0.867,0,0.000,391680,465920,59223
1780454066,12.47,652756,5770424,97,115,0.867,0,0.000,402944,465920,59223
1780454067,13.10,652756,5770424,97,115,0.867,0,0.000,417280,465920,59223
1780454069,13.36,652756,5770424,97,115,0.867,0,0.000,427520,465920,59223
1780454070,12.96,652756,5770424,97,116,0.873,0,0.000,157131,467968,59223
1780454071,12.33,652756,5770424,97,116,0.873,0,0.000,168395,467968,59223
1780454072,12.44,652756,5770424,97,116,0.873,0,0.000,180683,467968,59223
1780454073,12.28,652756,5770424,97,116,0.873,0,0.000,190923,467968,59223
1780454074,12.25,652756,5770424,97,116,0.873,0,0.000,203211,467968,59223
1780454075,12.90,652756,5770424,97,116,0.873,0,0.000,213451,467968,59223
1780454076,12.31,652756,5770424,97,116,0.873,0,0.000,224715,467968,59223
1780454078,12.20,652756,5770424,97,116,0.873,0,0.000,237003,467968,59223
1780454079,12.36,652756,5770424,97,116,0.873,0,0.000,247243,467968,59223
1780454080,11.56,652756,5770424,97,116,0.873,0,0.000,258507,467968,59223
1780454081,12.31,652756,5770424,97,116,0.873,0,0.000,270795,467968,59223
1780454082,12.96,652756,5770424,97,116,0.873,0,0.000,282059,467968,59223
1780454083,13.33,652756,5770424,97,116,0.873,0,0.000,293323,467968,59223
1780454084,12.20,652756,5770424,97,116,0.873,0,0.000,303563,467968,59223
1780454086,12.23,652756,5770424,97,116,0.873,0,0.000,314827,467968,59223
1780454087,12.23,652756,5770424,97,116,0.873,0,0.000,328139,467968,59223
1780454088,14.00,652756,5770424,97,116,0.873,0,0.000,339403,467968,59223
1780454089,11.40,652756,5770424,97,116,0.873,0,0.000,350667,467968,59223
1780454090,11.50,652756,5770424,97,116,0.873,0,0.000,361931,467968,59223
1780454091,12.28,652756,5770424,97,116,0.873,0,0.000,373195,467968,59223
1780454092,12.23,652756,5770424,97,116,0.873,0,0.000,385483,467968,59223
1780454094,13.22,652756,5770424,97,116,0.873,0,0.000,395723,467968,59223
1780454095,11.56,652756,5770424,97,116,0.873,0,0.000,406987,467968,59223
1780454096,13.30,652756,5770424,97,116,0.873,0,0.000,418251,467968,59223
1780454097,21.29,615180,5770424,97,117,0.876,0,0.000,128459,430080,59223
1780454098,12.44,615180,5770424,97,117,0.876,0,0.000,142795,430080,59223
1780454099,13.22,615180,5770424,97,117,0.876,0,0.000,153035,430080,59223
1780454100,11.48,615180,5770424,97,117,0.876,0,0.000,164299,430080,59223
1780454102,13.25,615180,5770424,97,117,0.876,0,0.000,175563,430080,59223
1780454103,11.16,615180,5770424,97,117,0.876,0,0.000,186827,430080,59223
1780454104,13.13,615180,5770424,97,117,0.876,0,0.000,198091,430080,59223
1780454105,13.16,615180,5770424,97,117,0.876,0,0.000,209355,430080,59223
1780454106,30.50,618484,6210744,528,117,0.876,0,0.000,318923,430080,59223
1780454107,201.59,639472,6210744,528,118,0.891,0,0.000,278987,423936,59223
1780454109,199.60,639472,6210744,528,119,0.902,0,0.000,275456,450560,59223
1780454110,218.78,640040,6210744,528,120,0.910,0,0.000,230400,450560,59223
1780454111,198.00,640040,6210744,528,121,0.920,0,0.000,172032,451584,59223
1780454112,204.44,640056,6210744,527,121,0.920,0,0.000,347136,451584,59223
1780454114,210.17,640056,6210744,527,122,0.927,0,0.000,274922,451584,59223
1780454115,215.06,640056,6210744,527,123,0.935,0,0.000,198122,451584,59223
1780454116,208.45,640056,6210744,527,123,0.935,0,0.000,371178,451584,59223
1780454117,207.04,640056,6210744,527,124,0.942,0,0.000,285162,451584,59223
1780454119,201.61,640056,6210744,527,125,0.949,0,0.000,191189,451584,59223
1780454120,198.39,640056,6210744,527,125,0.949,0,0.000,364245,451584,59223
1780454121,221.49,640056,6210744,527,126,0.957,0,0.000,275157,451584,59223
1780454122,210.92,640056,6210744,527,127,0.964,0,0.000,184021,451584,59223
1780454124,196.08,640056,6210744,527,127,0.964,0,0.000,359125,451584,59223
1780454125,206.61,640056,6210744,527,128,0.971,0,0.000,263610,451584,59223
1780454126,210.08,640056,6210744,527,129,0.980,0,0.000,182714,451584,59223
1780454127,217.90,640056,6210744,527,129,0.980,0,0.000,356794,451584,59223
1780454129,204.05,640056,6210744,527,130,0.987,0,0.000,266682,451584,59223
1780454130,202.85,640056,6210744,527,131,0.994,0,0.000,177140,451584,59223
1780454131,204.88,640056,6210744,528,131,0.994,0,0.000,353268,451584,59223
1780454132,215.26,640056,6210744,528,132,1.002,0,0.000,262132,451584,59223
1780454133,216.38,640056,6210744,528,133,1.010,0,0.000,172020,451584,59223
1780454135,209.21,640056,6210744,528,133,1.010,0,0.000,345076,451584,59223
1780454136,215.05,640056,6210744,527,134,1.018,0,0.000,251190,451584,59223
1780454137,226.58,640276,6211768,529,135,1.028,0,0.000,184882,424960,59223
1780454138,201.93,640276,6211768,529,135,1.028,0,0.000,358962,424960,59223
1780454140,205.76,640276,6211768,529,136,1.038,0,0.000,323711,450560,59223
1780454141,203.20,640276,6211768,529,137,1.044,0,0.000,240640,450560,59223
1780454142,202.87,640492,6211768,527,137,1.044,0,0.000,416768,450560,59223
1780454143,224.90,640492,6211768,527,138,1.053,0,0.000,328704,451584,59223
1780454145,202.00,640492,6211768,527,139,1.059,0,0.000,238592,451584,59223
1780454146,206.61,640492,6211768,527,139,1.059,0,0.000,409600,451584,59223
1780454147,43.88,640492,6211768,528,139,1.059,0,0.000,416768,451584,59223
