timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779051785,0.00,316296,5721004,49,24,0.107,0,0.000,116736,156672,55236
1779051786,0.00,316296,5721004,49,24,0.107,0,0.000,116736,156672,55236
1779051787,0.00,316296,5721004,49,24,0.107,0,0.000,116736,156672,55236
1779051788,87.58,317476,5772204,100,26,0.116,0,0.000,114688,160768,58916
1779051789,72.20,324436,5772204,100,26,0.116,0,0.000,124928,188416,58916
1779051790,29.53,343456,5772204,100,26,0.116,0,0.000,137216,188416,58916
1779051791,15.11,343980,5772204,100,27,0.118,0,0.000,117760,188416,58917
1779051793,14.16,344164,5772204,99,27,0.118,0,0.000,130048,188416,58917
1779051794,13.91,344164,5772204,99,27,0.118,0,0.000,141312,188416,58917
1779051795,12.88,344692,5772204,99,27,0.118,0,0.000,152576,188416,58917
1779051796,13.82,344692,5772204,99,27,0.118,0,0.000,162816,188416,58917
1779051797,14.19,346012,5772204,99,28,0.121,0,0.000,119038,188416,58917
1779051798,13.10,346044,5772204,98,28,0.121,0,0.000,129278,188416,58917
1779051799,12.25,346044,5772204,98,28,0.121,0,0.000,140542,188416,58917
1779051801,12.31,348240,5772204,97,28,0.121,0,0.000,151806,188416,58917
1779051802,12.39,348240,5772204,97,28,0.121,0,0.000,163070,188416,58917
1779051803,24.32,348240,5772204,97,29,0.122,0,0.000,116990,188416,58917
1779051804,12.15,348240,5772204,97,29,0.122,0,0.000,129278,188416,58917
1779051805,13.04,348240,5772204,97,29,0.122,0,0.000,140542,188416,58917
1779051806,13.10,348240,5772204,97,29,0.122,0,0.000,151806,188416,58917
1779051807,12.47,348240,5772204,97,29,0.122,0,0.000,164094,188416,58917
1779051809,14.35,348244,5772204,99,30,0.126,0,0.000,112894,187392,58917
1779051810,12.20,348432,5772204,97,30,0.126,0,0.000,124158,187392,58917
1779051811,12.20,348432,5772204,97,30,0.126,0,0.000,135422,187392,58917
1779051812,13.91,348432,5772204,97,30,0.126,0,0.000,147710,187392,58917
1779051813,12.23,348432,5772204,97,30,0.126,0,0.000,156926,187392,58917
1779051814,11.50,348432,5772204,97,30,0.126,0,0.000,169214,187392,58917
1779051815,14.00,348960,5772204,97,31,0.129,0,0.000,116449,187392,58917
1779051817,12.17,348960,5772204,97,31,0.129,0,0.000,127713,187392,58917
1779051818,13.33,348960,5772204,97,31,0.129,0,0.000,138977,187392,58917
1779051819,13.25,348960,5772204,97,31,0.129,0,0.000,150241,187392,58917
1779051820,11.53,348960,5772204,97,31,0.129,0,0.000,161505,187392,58917
1779051821,13.39,348960,5772204,97,31,0.129,0,0.000,171745,187392,58917
1779051822,24.78,348960,5772204,97,32,0.131,0,0.000,116449,187392,58917
1779051823,12.17,348960,5772204,97,32,0.131,0,0.000,128737,187392,58917
1779051825,13.97,348960,5772204,97,32,0.131,0,0.000,140001,187392,58917
1779051826,12.23,348960,5772204,97,32,0.131,0,0.000,151265,187392,58917
1779051827,13.02,348960,5772204,97,32,0.131,0,0.000,161505,187392,58917
1779051828,13.25,348960,5772204,97,32,0.131,0,0.000,173793,187392,58917
1779051829,14.13,348960,5772204,97,33,0.133,0,0.000,118497,187392,58917
1779051830,11.48,348960,5772204,97,33,0.133,0,0.000,130785,187392,58917
1779051831,13.07,348960,5772204,97,33,0.133,0,0.000,142049,187392,58917
1779051833,13.16,348960,5772204,97,33,0.133,0,0.000,153313,187392,58917
1779051834,11.50,348960,5772204,97,33,0.133,0,0.000,163553,187392,58917
1779051835,12.33,348960,5772204,97,33,0.133,0,0.000,174817,187392,58917
1779051836,13.13,348960,5772204,97,34,0.136,0,0.000,119396,187392,58917
1779051837,15.01,348960,5772204,97,34,0.136,0,0.000,130660,187392,58917
1779051838,13.13,348960,5772204,97,34,0.136,0,0.000,140900,187392,58917
1779051839,12.33,348960,5772204,97,34,0.136,0,0.000,152164,187392,58917
1779051841,12.36,348960,5772204,97,34,0.136,0,0.000,163428,187392,58917
1779051842,12.20,348960,5772204,97,34,0.136,0,0.000,175716,187392,58917
1779051843,26.67,348960,5772204,97,35,0.138,0,0.000,117348,187392,58870
1779051844,13.19,348960,5772204,97,35,0.138,0,0.000,129636,187392,58870
1779051845,12.28,348960,5772204,97,35,0.138,0,0.000,140900,187392,58870
1779051846,12.56,348960,5772204,97,35,0.138,0,0.000,152164,187392,58870
1779051847,24.35,356916,5876652,226,37,0.166,0,0.000,183296,223232,58870
1779051849,367.28,415888,6410556,723,41,0.195,0,0.000,248320,460800,58871
1779051850,321.57,698144,6933064,1233,46,0.287,0,0.000,530432,764928,58871
1779051851,285.82,827900,7005768,1304,49,0.355,0,0.000,510464,742400,58871
1779051853,296.09,952408,7030344,1328,52,0.418,0,0.000,568832,761856,58871
1779051854,305.20,956148,7030344,1328,55,0.472,0,0.000,605696,772096,58871
1779051855,284.04,957288,7050824,1348,58,0.538,0,0.000,471040,760832,58871
1779051857,321.00,1157756,7054920,1352,61,0.613,0,0.000,695296,998400,58871
1779051858,270.72,1204336,7054920,1351,63,0.657,0,0.000,484352,985088,58871
1779051859,262.71,1205032,7054920,1351,65,0.678,0,0.000,755200,980992,58871
1779051860,282.13,1205268,7055052,1352,67,0.753,0,0.000,458752,985088,58871
1779051862,261.19,1205268,7055052,1352,68,0.775,0,0.000,617984,983040,58871
1779051863,302.55,1205532,7055052,1352,70,0.821,0,0.000,559616,985088,58871
1779051864,263.73,1205532,7055052,1352,71,0.842,0,0.000,643072,984064,58871
1779051866,263.32,1205532,7055052,1352,73,0.895,0,0.000,448000,977920,58871
1779051867,309.09,1205768,7055052,1352,74,0.915,0,0.000,519680,982016,58871
1779051868,251.57,1205768,7055052,1352,75,0.936,0,0.000,565248,976896,58871
1779051869,280.37,1205980,7055052,1352,76,0.953,0,0.000,618496,973824,58871
1779051871,266.67,1206444,7055052,1352,77,0.969,0,0.000,677376,977920,58871
1779051872,269.53,1207184,7055052,1352,78,0.991,0,0.000,640000,967680,58871
1779051873,297.12,1216328,7057236,1354,79,1.012,0,0.000,653824,967680,58871
1779051875,269.43,1216328,7057236,1354,81,1.070,0,0.000,600064,973824,58871
1779051876,315.95,1216824,7058260,1355,83,1.119,0,0.000,548864,987136,58871
1779051877,255.97,1216824,7058260,1355,85,1.169,0,0.000,551936,986112,58871
1779051878,298.47,1217200,7058260,1353,87,1.187,0,0.000,662016,983040,58871
1779051880,276.74,1217200,7058260,1353,88,1.232,0,0.000,519168,979968,58871
1779051881,257.59,1217204,7058260,1354,89,1.258,0,0.000,709632,974848,58871
1779051882,298.79,1217204,7058260,1354,91,1.300,0,0.000,516608,978944,58871
1779051884,280.16,1217464,7058260,1354,92,1.321,0,0.000,697856,978944,58871
1779051885,281.54,1217700,7058260,1354,94,1.365,0,0.000,397824,970752,58871
1779051886,296.95,1217700,7058260,1354,95,1.387,0,0.000,645120,973824,58871
1779051888,183.08,1219080,7058260,1354,96,1.410,0,0.000,398848,974848,58871
1779051889,0.00,1219080,7058260,1354,96,1.410,0,0.000,398848,974848,58871
