timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779058528,0.00,858204,5759292,47,101,1.186,0,0.000,411136,635904,58865
1779058529,0.00,858204,5759292,47,101,1.186,0,0.000,411136,635904,58865
1779058530,0.00,858204,5759292,47,101,1.186,0,0.000,411136,635904,58865
1779058531,14.13,858256,5772604,100,101,1.186,0,0.000,424448,635904,58865
1779058532,14.95,858256,5772604,100,101,1.186,0,0.000,435712,635904,58865
1779058534,13.19,858460,5772604,99,101,1.186,0,0.000,446976,635904,58865
1779058535,11.43,858476,5772604,98,101,1.186,0,0.000,458240,635904,58865
1779058536,14.16,858492,5772604,97,101,1.186,0,0.000,469504,635904,58865
1779058537,12.28,858492,5772604,97,101,1.186,0,0.000,480768,635904,58865
1779058538,13.13,858492,5772604,97,101,1.186,0,0.000,492032,635904,58865
1779058539,12.25,858492,5772604,97,101,1.186,0,0.000,503296,635904,58865
1779058540,12.20,858492,5772604,97,101,1.186,0,0.000,514560,635904,58865
1779058542,15.79,858492,5772604,97,102,1.193,0,0.000,302080,657408,58865
1779058543,12.33,858492,5772604,97,102,1.193,0,0.000,313344,657408,58865
1779058544,13.10,858492,5772604,97,102,1.193,0,0.000,325632,657408,58865
1779058545,13.27,858492,5772604,97,102,1.193,0,0.000,335872,657408,58865
1779058546,11.56,858492,5772604,97,102,1.193,0,0.000,347136,657408,58865
1779058547,12.42,858492,5772604,97,102,1.193,0,0.000,358400,657408,58865
1779058548,12.33,858492,5772604,97,102,1.193,0,0.000,370688,657408,58865
1779058550,14.07,858492,5772604,97,102,1.193,0,0.000,381952,657408,58865
1779058551,11.33,858492,5772604,97,102,1.193,0,0.000,394240,657408,58865
1779058552,12.42,858492,5772604,97,102,1.193,0,0.000,404480,657408,58865
1779058553,11.43,858492,5772604,97,102,1.193,0,0.000,415744,657408,58865
1779058554,12.25,858492,5772604,97,102,1.193,0,0.000,428032,657408,58865
1779058555,13.91,858492,5772604,97,102,1.193,0,0.000,439296,657408,58865
1779058556,12.33,858492,5772604,97,102,1.193,0,0.000,450560,657408,58865
1779058558,12.23,858492,5772604,97,102,1.193,0,0.000,461824,657408,58865
1779058559,12.12,858492,5772604,97,102,1.193,0,0.000,472064,657408,58865
1779058560,12.23,858492,5772604,97,102,1.193,0,0.000,484352,657408,58865
1779058561,15.04,858492,5772604,97,102,1.193,0,0.000,495616,657408,58865
1779058562,12.17,858492,5772604,97,102,1.193,0,0.000,506880,657408,58865
1779058563,12.25,858492,5772604,97,102,1.193,0,0.000,518144,657408,58865
1779058564,13.33,858492,5772604,97,103,1.197,0,0.000,260096,657408,58865
1779058566,13.10,858492,5772604,97,103,1.197,0,0.000,273408,657408,58865
1779058567,12.28,858492,5772604,97,103,1.197,0,0.000,284672,657408,58865
1779058568,13.19,858492,5772604,97,103,1.197,0,0.000,294912,657408,58865
1779058569,11.43,858492,5772604,97,103,1.197,0,0.000,306176,657408,58865
