timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779389590,0.00,1382360,9938996,52,90,0.478,0,0.000,505102,1134592,58840
1779389591,0.00,1382360,9938996,52,90,0.478,0,0.000,505102,1134592,58840
1779389592,0.00,1382360,9938996,52,90,0.478,0,0.000,505102,1134592,58840
1779389593,12.36,1382384,9949236,102,90,0.478,0,0.000,517390,1134592,58840
1779389595,13.47,1382384,9949236,102,90,0.478,0,0.000,527630,1134592,58840
1779389596,13.96,1382384,9949236,102,90,0.478,0,0.000,537870,1134592,58840
1779389597,14.14,1382384,9949236,102,90,0.478,0,0.000,550158,1134592,58840
1779389598,13.27,1382384,9949236,102,90,0.478,0,0.000,560398,1134592,58840
1779389599,12.57,1382384,9949236,102,90,0.478,0,0.000,572686,1134592,58840
1779389600,13.39,1382384,9949236,102,90,0.478,0,0.000,582926,1134592,58840
1779389601,12.47,1382384,9949236,102,90,0.478,0,0.000,595214,1134592,58840
1779389602,14.21,1382384,9949236,102,90,0.478,0,0.000,605454,1134592,58840
1779389604,13.29,1382384,9949236,102,90,0.478,0,0.000,617742,1134592,58840
1779389605,12.40,1382384,9949236,102,90,0.478,0,0.000,627982,1134592,58840
1779389606,13.45,1382384,9949236,102,90,0.478,0,0.000,640270,1134592,58840
1779389607,14.17,1382384,9949236,102,90,0.478,0,0.000,650510,1134592,58840
1779389608,13.23,1382384,9949236,102,90,0.478,0,0.000,662798,1134592,58840
1779389609,12.35,1382384,9949236,102,90,0.478,0,0.000,673038,1134592,58840
1779389610,13.39,1382384,9949236,102,90,0.478,0,0.000,685326,1134592,58840
1779389611,13.19,1382384,9949236,102,90,0.478,0,0.000,695566,1134592,58840
1779389613,13.22,1382384,9949236,102,90,0.478,0,0.000,705806,1134592,58840
1779389614,14.29,1382384,9949236,102,90,0.478,0,0.000,718094,1134592,58840
1779389615,15.06,1382384,9949236,102,90,0.478,0,0.000,730382,1134592,58840
1779389616,12.38,1382384,9949236,102,90,0.478,0,0.000,740622,1134592,58840
1779389617,14.19,1382384,9949236,102,90,0.478,0,0.000,750862,1134592,58840
1779389618,12.61,1382384,9949236,102,90,0.478,0,0.000,763150,1134592,58840
1779389619,14.19,1382384,9949236,102,90,0.478,0,0.000,773390,1134592,58840
1779389621,12.49,1382384,9949236,102,90,0.478,0,0.000,785678,1134592,58840
1779389622,13.22,1382384,9949236,102,90,0.478,0,0.000,795918,1134592,58840
1779389623,13.27,1382384,9949236,102,90,0.478,0,0.000,808206,1134592,58840
1779389624,14.21,1382384,9949236,102,90,0.478,0,0.000,818446,1134592,58840
1779389625,15.95,1382384,9949236,102,91,0.482,0,0.000,210832,1200128,58840
1779389626,15.08,1382384,9949236,102,91,0.482,0,0.000,223120,1200128,58840
1779389627,13.22,1382384,9949236,102,91,0.482,0,0.000,233360,1200128,58840
1779389628,13.36,1382384,9949236,102,91,0.482,0,0.000,243600,1200128,58840
1779389630,13.29,1382384,9949236,102,91,0.482,0,0.000,255888,1200128,58840
