timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779071613,0.00,310612,14219780,52,42,0.162,0,0.000,97227,139264,58817
1779071615,0.00,310612,14219780,52,42,0.162,0,0.000,97227,139264,58817
1779071616,4.88,310932,14234116,106,42,0.162,0,0.000,101323,139264,58817
1779071617,23.77,310932,14234116,106,42,0.162,0,0.000,113611,139264,58817
1779071618,29.99,310932,14234116,106,43,0.165,0,0.000,76747,139264,58817
1779071620,32.29,310940,14234116,105,43,0.165,0,0.000,89035,139264,58817
1779071621,24.72,310940,14234116,105,43,0.165,0,0.000,101323,139264,58817
1779071622,24.14,310940,14234116,105,43,0.165,0,0.000,113611,139264,58817
1779071623,33.67,310940,14234116,105,44,0.167,0,0.000,76854,139264,58817
1779071624,24.54,310940,14234116,105,44,0.167,0,0.000,89142,139264,58817
1779071626,25.18,311288,14234116,104,44,0.167,0,0.000,101430,139264,58817
1779071627,24.34,311288,14234116,104,44,0.167,0,0.000,113718,139264,58817
1779071628,26.91,311288,14234116,104,45,0.169,0,0.000,75685,139264,58817
1779071629,24.64,311288,14234116,104,45,0.169,0,0.000,87973,139264,58817
1779071631,25.13,311416,14234116,103,45,0.169,0,0.000,100261,139264,58817
1779071632,24.51,311416,14234116,103,45,0.169,0,0.000,112549,139264,58817
1779071633,29.96,311416,14234116,103,46,0.171,0,0.000,75728,139264,58817
1779071634,28.72,311416,14234116,103,46,0.171,0,0.000,88016,139264,58817
1779071636,24.97,311416,14234116,103,46,0.171,0,0.000,100304,139264,58817
1779071637,27.67,311416,14234116,106,46,0.171,0,0.000,112592,139264,58817
1779071638,25.25,311416,14234116,106,47,0.173,0,0.000,75745,139264,58817
1779071639,24.32,311416,14234116,106,47,0.173,0,0.000,88033,139264,58817
1779071640,24.00,311416,14234116,106,47,0.173,0,0.000,100321,139264,58817
1779071642,36.33,311652,14234116,104,47,0.173,0,0.000,112609,139264,58817
1779071643,25.54,311652,14234116,104,48,0.175,0,0.000,74650,139264,58817
1779071644,26.20,311652,14234116,104,48,0.175,0,0.000,86938,139264,58817
1779071645,25.28,311652,14234116,104,48,0.175,0,0.000,99226,139264,58817
1779071647,26.75,311776,14234116,103,48,0.175,0,0.000,111514,139264,58817
1779071648,27.61,311776,14234116,103,49,0.177,0,0.000,74657,139264,58817
1779071649,32.83,311776,14234116,103,49,0.177,0,0.000,86945,139264,58817
1779071650,25.18,311776,14234116,103,49,0.177,0,0.000,99233,139264,58817
1779071652,26.31,311776,14234116,103,49,0.177,0,0.000,111521,139264,58817
1779071653,26.69,311776,14234116,103,50,0.179,0,0.000,74667,139264,58817
1779071654,24.95,311776,14234116,103,50,0.179,0,0.000,86955,139264,58817
1779071655,24.84,311776,14234116,103,50,0.179,0,0.000,99243,139264,58817
1779071656,25.68,311776,14234116,103,50,0.179,0,0.000,111531,139264,58817
