timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779078764,0.00,391272,9938864,52,101,0.325,0,0.000,172090,208896,58842
1779078765,0.00,391272,9938864,52,101,0.325,0,0.000,172090,208896,58842
1779078766,0.00,391272,9938864,52,101,0.325,0,0.000,172090,208896,58842
1779078767,15.84,391820,9951152,104,101,0.325,0,0.000,184378,208896,58842
1779078768,24.67,391820,9951152,104,102,0.327,0,0.000,120998,210944,58838
1779078770,20.49,391824,9953200,106,102,0.327,0,0.000,133286,210944,58838
1779078771,14.70,391824,9953200,106,102,0.327,0,0.000,145574,210944,58838
1779078772,12.33,391824,9953200,105,102,0.327,0,0.000,155814,210944,58838
1779078773,14.21,391872,9953200,102,102,0.327,0,0.000,168102,210944,58838
1779078774,14.13,391872,9953200,102,102,0.327,0,0.000,178342,210944,58838
1779078775,14.33,391872,9953200,102,102,0.327,0,0.000,190630,210944,58838
1779078776,14.07,391872,9953200,102,103,0.328,0,0.000,125094,208896,58838
1779078777,14.22,391872,9953200,102,103,0.328,0,0.000,137382,208896,58838
1779078779,14.13,391872,9953200,102,103,0.328,0,0.000,147622,208896,58838
1779078780,13.19,391872,9953200,102,103,0.328,0,0.000,159910,208896,58838
1779078781,15.13,391872,9953200,102,103,0.328,0,0.000,170150,208896,58838
1779078782,13.23,391872,9953200,102,103,0.328,0,0.000,182438,208896,58838
1779078783,13.94,391872,9953200,102,103,0.328,0,0.000,192678,208896,58838
1779078784,15.09,392372,9953200,102,104,0.331,0,0.000,118711,208896,58838
1779078785,14.27,392372,9953200,102,104,0.331,0,0.000,128951,208896,58838
1779078787,14.13,392372,9953200,102,104,0.331,0,0.000,141239,208896,58838
1779078788,15.08,392372,9953200,105,104,0.331,0,0.000,151479,208896,58838
1779078789,13.29,392372,9953200,105,104,0.331,0,0.000,163767,208896,58838
1779078790,14.16,392372,9953200,105,104,0.331,0,0.000,176055,208896,58838
1779078791,14.16,392372,9953200,105,104,0.331,0,0.000,186295,208896,58838
1779078792,15.09,394524,9953200,105,105,0.333,0,0.000,103087,215040,58838
1779078793,13.97,394524,9953200,105,105,0.333,0,0.000,113327,215040,58838
1779078794,14.11,394524,9953200,105,105,0.333,0,0.000,125615,215040,58838
1779078796,13.36,394624,9953200,104,105,0.333,0,0.000,135855,215040,58838
1779078797,13.30,394624,9953200,104,105,0.333,0,0.000,146095,215040,58838
1779078798,14.25,394624,9953200,104,105,0.333,0,0.000,158383,215040,58838
1779078799,13.26,394624,9953200,104,105,0.333,0,0.000,168623,215040,58838
1779078800,14.16,394624,9953200,104,105,0.333,0,0.000,180911,215040,58838
1779078801,14.05,394624,9953200,104,105,0.333,0,0.000,193199,215040,58838
1779078802,23.95,394740,9953200,103,106,0.334,0,0.000,103087,212992,58838
1779078804,13.32,394740,9953200,103,106,0.334,0,0.000,115375,212992,58838
1779078805,13.29,394740,9953200,103,106,0.334,0,0.000,125615,212992,58838
1779078806,14.17,394740,9953200,103,106,0.334,0,0.000,137903,212992,58838
1779078807,13.29,394796,9953200,102,106,0.334,0,0.000,148143,212992,58838
1779078808,13.22,394796,9953200,102,106,0.334,0,0.000,160431,212992,58838
1779078809,13.25,394796,9953200,102,106,0.334,0,0.000,170671,212992,58838
1779078810,13.32,394796,9953200,102,106,0.334,0,0.000,180911,212992,58838
1779078811,14.21,394796,9953200,102,106,0.334,0,0.000,193199,212992,58838
1779078813,15.20,394796,9953200,102,107,0.336,0,0.000,107183,212992,58838
1779078814,15.75,394796,9953200,102,107,0.336,0,0.000,119471,212992,58838
1779078815,13.29,394796,9953200,102,107,0.336,0,0.000,129711,212992,58838
1779078816,13.30,394796,9953200,102,107,0.336,0,0.000,139951,212992,58838
1779078817,13.38,394796,9953200,102,107,0.336,0,0.000,152239,212992,58838
1779078818,15.11,394796,9953200,102,107,0.336,0,0.000,162479,212992,58838
1779078819,13.16,394796,9953200,102,107,0.336,0,0.000,174767,212992,58838
1779078820,13.20,394796,9953200,102,107,0.336,0,0.000,185007,212992,58838
1779078822,14.25,394796,9953200,102,107,0.336,0,0.000,197295,212992,58838
1779078823,15.04,396336,9953200,102,108,0.338,0,0.000,107178,215040,58838
1779078824,13.27,396336,9953200,102,108,0.338,0,0.000,119466,215040,58838
1779078825,13.33,396336,9953200,102,108,0.338,0,0.000,129706,215040,58838
1779078826,13.30,396336,9953200,102,108,0.338,0,0.000,141994,215040,58838
1779078827,130.07,418360,10291120,436,109,0.344,0,0.000,176648,223232,58838
1779078828,168.38,419940,10291120,436,111,0.352,0,0.000,188216,233472,58838
1779078830,179.31,419940,10291120,436,113,0.359,0,0.000,165688,233472,58838
1779078831,179.54,419964,10291120,435,115,0.368,0,0.000,132017,233472,58838
1779078832,189.43,419992,10291120,434,116,0.372,0,0.000,172977,233472,58838
1779078833,165.19,419992,10291120,434,118,0.380,0,0.000,129746,233472,58838
1779078834,194.87,419992,10291120,434,119,0.383,0,0.000,166610,233472,58838
1779078835,166.96,420000,10291120,433,120,0.388,0,0.000,202156,233472,58838
1779078837,178.26,420000,10291120,433,122,0.395,0,0.000,146860,233472,58838
1779078838,172.55,420000,10291120,433,123,0.398,0,0.000,186865,233472,58838
1779078839,188.44,420000,10291120,433,125,0.405,0,0.000,127708,233472,58838
1779078840,170.74,420000,10291120,433,126,0.409,0,0.000,165704,233472,58838
1779078841,188.80,420000,10291120,433,127,0.412,0,0.000,202696,233472,58838
1779078842,181.78,420000,10291120,433,129,0.419,0,0.000,142907,233472,58838
1779078843,177.40,420000,10291120,433,130,0.423,0,0.000,173682,233472,58838
1779078845,166.85,420000,10291120,433,131,0.426,0,0.000,210550,233472,58838
1779078846,185.54,420144,10291120,432,133,0.433,0,0.000,150914,233472,58838
1779078847,168.83,420144,10291120,432,134,0.436,0,0.000,187790,233472,58838
1779078848,165.67,420144,10291120,432,136,0.444,0,0.000,128108,233472,58838
1779078849,184.09,420144,10291120,432,137,0.447,0,0.000,164986,233472,58838
1779078850,169.01,420144,10291120,432,138,0.451,0,0.000,199424,233472,58838
1779078851,181.58,420144,10291120,432,140,0.458,0,0.000,135958,233472,58838
1779078853,164.32,420144,10291120,432,141,0.461,0,0.000,168471,233472,58838
1779078854,185.76,420144,10291120,432,142,0.466,0,0.000,211559,233472,58838
1779078855,175.55,420144,10291120,432,144,0.473,0,0.000,149804,233472,58838
1779078856,178.76,420144,10291120,432,145,0.476,0,0.000,180549,233472,58838
1779078857,165.40,420144,10291120,432,147,0.484,0,0.000,120892,233472,58838
1779078858,188.39,420144,10291120,432,148,0.488,0,0.000,161920,233472,58838
1779078860,171.24,420144,10291120,432,149,0.491,0,0.000,194688,233472,58838
1779078861,166.41,420144,10291120,432,151,0.502,0,0.000,141227,233472,58838
1779078862,189.09,420144,10291120,432,152,0.505,0,0.000,169918,233472,58838
1779078863,175.44,420144,10291120,432,153,0.508,0,0.000,200644,233472,58838
1779078864,178.07,420144,10291120,432,155,0.515,0,0.000,143302,233472,58838
1779078865,194.22,420144,10291120,435,156,0.519,0,0.000,178120,231424,58838
1779078867,176.91,420144,10291120,435,157,0.523,0,0.000,208846,231424,58838
1779078868,25.30,420340,10291120,433,157,0.523,0,0.000,214990,231424,58838
