timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779330781,0.00,1146396,5759836,47,123,2.109,0,0.000,568320,896000,59232
1779330783,0.00,1146396,5759836,47,123,2.109,0,0.000,568320,896000,59232
1779330784,0.00,1146396,5759836,47,123,2.109,0,0.000,570368,896000,59232
1779330785,16.88,1146436,5773148,100,123,2.109,0,0.000,582656,896000,59232
1779330786,15.62,1146436,5773148,100,123,2.109,0,0.000,594944,896000,59232
1779330787,14.81,1146436,5773148,100,123,2.109,0,0.000,606208,896000,59232
1779330788,14.59,1146436,5773148,100,123,2.109,0,0.000,618496,896000,59232
1779330789,15.55,1146436,5773148,98,123,2.109,0,0.000,629760,896000,59232
1779330791,14.81,1146436,5773148,98,123,2.109,0,0.000,642048,896000,59232
1779330792,16.20,1146436,5773148,98,123,2.109,0,0.000,652288,896000,59232
1779330793,13.91,1146436,5773148,98,123,2.109,0,0.000,663552,896000,59232
1779330794,17.32,1146436,5773148,97,124,2.118,0,0.000,441856,921600,59232
1779330795,14.75,1146436,5773148,97,124,2.118,0,0.000,452096,921600,59232
1779330796,14.59,1146436,5773148,97,124,2.118,0,0.000,465408,921600,59232
1779330798,16.17,1146436,5773148,97,124,2.118,0,0.000,476672,921600,59232
1779330799,13.79,1146436,5773148,97,124,2.118,0,0.000,487936,921600,59232
1779330800,15.58,1146436,5773148,97,124,2.118,0,0.000,499200,921600,59232
1779330801,13.82,1146436,5773148,97,124,2.118,0,0.000,510464,921600,59232
1779330802,14.85,1146436,5773148,97,124,2.118,0,0.000,522752,921600,59232
1779330803,15.29,1146436,5773148,97,124,2.118,0,0.000,532992,921600,59232
1779330805,14.50,1146436,5773148,97,124,2.118,0,0.000,547328,921600,59232
1779330806,15.42,1146436,5773148,97,124,2.118,0,0.000,558592,921600,59232
1779330807,13.94,1146436,5773148,97,124,2.118,0,0.000,569856,921600,59232
1779330808,14.81,1146436,5773148,97,124,2.118,0,0.000,581120,921600,59232
1779330809,13.94,1146436,5773148,97,124,2.118,0,0.000,593408,921600,59232
1779330810,15.38,1146436,5773148,97,124,2.118,0,0.000,604672,921600,59232
1779330812,13.85,1146436,5773148,97,124,2.118,0,0.000,615936,921600,59232
1779330813,14.47,1146436,5773148,97,124,2.118,0,0.000,627200,921600,59232
1779330814,15.01,1146436,5773148,97,124,2.118,0,0.000,638464,921600,59232
1779330815,13.91,1146436,5773148,97,124,2.118,0,0.000,650752,921600,59232
1779330816,15.58,1146436,5773148,97,124,2.118,0,0.000,662016,921600,59232
1779330817,13.13,1146436,5773148,97,124,2.118,0,0.000,674304,921600,59232
1779330819,15.38,1146436,5773148,97,124,2.118,0,0.000,685568,921600,59232
1779330820,13.91,1146436,5773148,97,124,2.118,0,0.000,696832,921600,59232
1779330821,13.68,1146436,5773148,97,124,2.118,0,0.000,708096,921600,59232
1779330822,17.66,1146436,5773148,97,125,2.123,0,0.000,389120,922624,59232
1779330823,13.68,1146436,5773148,97,125,2.123,0,0.000,401408,922624,59232
1779330824,14.44,1146436,5773148,97,125,2.123,0,0.000,412672,922624,59232
1779330826,13.70,1146436,5773148,97,125,2.123,0,0.000,424960,922624,59232
1779330827,14.53,1146436,5773148,97,125,2.123,0,0.000,437248,922624,59232
1779330828,13.73,1146436,5773148,97,125,2.123,0,0.000,447488,922624,59232
1779330829,14.66,1146436,5773148,97,125,2.123,0,0.000,459776,922624,59232
1779330830,15.52,1146436,5773148,97,125,2.123,0,0.000,471040,922624,59232
1779330831,15.58,1146436,5773148,97,125,2.123,0,0.000,483328,922624,59232
1779330833,14.44,1146436,5773148,97,125,2.123,0,0.000,493568,922624,59232
1779330834,13.88,1146436,5773148,97,125,2.123,0,0.000,505856,922624,59232
1779330835,15.45,1146436,5773148,97,125,2.123,0,0.000,517120,922624,59232
1779330836,14.10,1146436,5773148,97,125,2.123,0,0.000,528384,922624,59232
1779330837,14.29,1146436,5773148,97,125,2.123,0,0.000,540672,922624,59232
1779330838,15.25,1146436,5773148,97,125,2.123,0,0.000,551936,922624,59232
1779330840,13.91,1146436,5773148,97,125,2.123,0,0.000,563200,922624,59232
1779330841,15.35,1146436,5773148,97,125,2.123,0,0.000,574464,922624,59232
1779330842,13.73,1146436,5773148,97,125,2.123,0,0.000,585728,922624,59232
1779330843,14.56,1146436,5773148,97,125,2.123,0,0.000,598016,922624,59232
1779330844,90.71,1152196,6512476,822,126,2.145,0,0.000,518144,881664,59232
1779330846,362.99,1153928,6689628,995,126,2.145,0,0.000,491520,881664,59232
1779330847,354.34,1154504,6769500,1073,127,2.167,0,0.000,548352,889856,59232
1779330848,371.58,1154936,6812508,1115,128,2.195,0,0.000,372224,885760,59232
1779330850,355.79,1154940,6812508,1115,128,2.195,0,0.000,498176,885760,59232
1779330851,340.51,1154944,6813532,1116,129,2.222,0,0.000,560128,886784,59232
1779330853,364.39,1155024,6835036,1137,129,2.222,0,0.000,626688,886784,59232
1779330854,364.08,1155036,6837084,1139,130,2.242,0,0.000,608768,890880,59232
1779330855,324.16,1156024,6955868,1255,132,2.280,0,0.000,527872,905216,59232
1779330857,327.08,1156544,7020380,1318,133,2.304,0,0.000,580096,892928,59232
1779330858,372.11,1156544,7021404,1319,133,2.304,0,0.000,591360,892928,59232
1779330860,323.36,1156548,7021404,1319,135,2.351,0,0.000,530432,890880,59232
1779330861,333.92,1156556,7023452,1321,136,2.378,0,0.000,647168,894976,59232
1779330863,316.01,1156556,7023452,1321,138,2.425,0,0.000,452096,887808,59232
1779330864,314.62,1156568,7026524,1324,139,2.454,0,0.000,495616,888832,59232
1779330865,371.24,1156568,7026524,1324,139,2.454,0,0.000,495616,888832,59232
1779330867,312.07,1156636,7044956,1342,141,2.512,0,0.000,470016,894976,59232
1779330868,320.43,1156640,7044956,1342,142,2.535,0,0.000,543232,891904,59232
1779330870,354.14,1156652,7048028,1345,143,2.556,0,0.000,563200,889856,59232
1779330871,317.32,1156656,7049052,1346,145,2.608,0,0.000,558592,889856,59232
1779330872,321.86,1156668,7052124,1349,147,2.656,0,0.000,542720,892928,59232
1779330874,326.84,1156672,7053148,1350,149,2.701,0,0.000,501760,894976,59232
1779330875,320.30,1156680,7055196,1352,150,2.725,0,0.000,586240,890880,59232
1779330876,317.93,1156680,7055196,1352,152,2.771,0,0.000,512000,892928,59232
1779330878,311.34,1157096,7094108,1390,153,2.793,0,0.000,557568,888832,59232
1779330879,332.78,1157108,7097180,1393,155,2.854,0,0.000,502272,893952,59232
1779330881,331.21,1157112,7097180,1392,156,2.872,0,0.000,598016,898048,59232
1779330882,319.16,1157112,7097180,1392,158,2.935,0,0.000,429056,885760,59232
1779330884,337.23,1157120,7097180,1391,159,2.962,0,0.000,520192,889856,59232
1779330885,38.76,1157120,7097180,1392,159,2.962,0,0.000,522240,889856,59232
