timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779324546,0.00,217704,5721004,47,10,0.057,0,0.000,32249,65536,56245
1779324547,0.00,217704,5721004,47,10,0.057,0,0.000,32249,65536,56245
1779324549,0.00,217704,5721004,47,10,0.057,0,0.000,32249,65536,56245
1779324550,114.03,233532,5772204,100,11,0.065,0,0.000,43978,71680,59322
1779324551,88.15,241256,5772204,100,12,0.069,0,0.000,41353,74752,59324
1779324552,28.94,241896,5772204,99,12,0.069,0,0.000,54665,74752,59324
1779324553,24.03,241896,5772204,99,13,0.072,0,0.000,45350,74752,59324
1779324554,22.66,241960,5772204,98,13,0.072,0,0.000,57638,74752,59324
1779324556,28.63,241960,5772204,98,14,0.075,0,0.000,45350,73728,59246
1779324557,17.09,241960,5772204,98,14,0.075,0,0.000,56614,73728,59246
1779324558,15.42,241960,5772204,98,15,0.077,0,0.000,45394,74752,59246
1779324559,18.10,241960,5772204,98,15,0.077,0,0.000,56658,74752,59246
1779324560,18.92,241960,5772204,98,16,0.080,0,0.000,39220,75776,59246
1779324561,17.66,241960,5772204,98,16,0.080,0,0.000,51508,75776,59246
1779324563,19.01,241960,5772204,98,16,0.080,0,0.000,62772,75776,59246
1779324564,24.40,241960,5772204,97,17,0.082,0,0.000,43316,74752,59246
1779324565,16.38,241960,5772204,97,17,0.082,0,0.000,55604,74752,59246
1779324566,18.57,241960,5772204,97,17,0.082,0,0.000,66868,74752,59246
1779324567,16.59,241960,5772204,97,18,0.085,0,0.000,48436,74752,59246
1779324568,18.64,241960,5772204,97,18,0.085,0,0.000,59700,74752,59246
1779324570,18.92,241960,5772204,98,19,0.088,0,0.000,40732,74752,59246
1779324571,17.66,241960,5772204,98,19,0.088,0,0.000,53020,74752,59246
1779324572,18.97,241972,5772204,98,19,0.088,0,0.000,64284,74752,59246
1779324573,24.30,241972,5772204,98,20,0.090,0,0.000,44828,73728,59246
1779324574,18.76,241972,5772204,98,20,0.090,0,0.000,56092,73728,59246
1779324575,16.14,241972,5772204,98,20,0.090,0,0.000,67356,73728,59246
1779324576,17.95,241972,5772204,98,21,0.093,0,0.000,48924,73728,59246
