timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779512890,0.00,430596,9938864,52,86,0.253,0,0.000,234127,258048,58841
1779512891,0.00,430596,9938864,52,86,0.253,0,0.000,234127,258048,58841
1779512892,0.00,430596,9938864,52,86,0.253,0,0.000,234127,258048,58841
1779512893,13.14,430636,9950128,103,87,0.255,0,0.000,101007,260096,58841
1779512895,14.24,430636,9950128,103,87,0.255,0,0.000,111247,260096,58841
1779512896,15.06,430636,9950128,103,87,0.255,0,0.000,123535,260096,58841
1779512897,15.81,430636,9950128,103,87,0.255,0,0.000,133775,260096,58841
1779512898,14.90,430636,9950128,102,87,0.255,0,0.000,146063,260096,58841
1779512899,14.17,430636,9950128,102,87,0.255,0,0.000,156303,260096,58841
1779512900,14.08,430636,9950128,102,87,0.255,0,0.000,168591,260096,58841
1779512901,16.87,430636,9950128,102,87,0.255,0,0.000,178831,260096,58841
1779512902,14.11,430636,9950128,102,87,0.255,0,0.000,191119,260096,58841
1779512904,14.10,430636,9950128,102,87,0.255,0,0.000,201359,260096,58841
1779512905,15.09,430636,9950128,102,87,0.255,0,0.000,211599,260096,58841
1779512906,13.19,430636,9950128,102,87,0.255,0,0.000,223887,260096,58841
1779512907,16.85,430636,9950128,102,87,0.255,0,0.000,236175,260096,58841
1779512908,15.77,430636,9950128,102,88,0.256,0,0.000,100488,260096,58841
1779512909,14.16,430636,9950128,102,88,0.256,0,0.000,110728,260096,58841
1779512910,15.77,430636,9950128,102,88,0.256,0,0.000,120968,260096,58841
1779512912,14.25,430636,9950128,102,88,0.256,0,0.000,133256,260096,58841
1779512913,14.85,430636,9950128,102,88,0.256,0,0.000,143496,260096,58841
1779512914,14.11,430636,9950128,102,88,0.256,0,0.000,155784,260096,58841
1779512915,14.93,430636,9950128,102,88,0.256,0,0.000,166024,260096,58841
1779512916,14.11,430636,9950128,102,88,0.256,0,0.000,178312,260096,58841
1779512917,15.03,430636,9950128,102,88,0.256,0,0.000,188552,260096,58841
1779512918,15.04,430636,9950128,102,88,0.256,0,0.000,200840,260096,58841
1779512919,15.08,430636,9950128,102,88,0.256,0,0.000,211080,260096,58841
1779512921,13.99,430636,9950128,102,88,0.256,0,0.000,223368,260096,58841
1779512922,14.32,430636,9950128,103,88,0.256,0,0.000,233608,260096,58841
1779512923,26.17,430636,9950128,103,89,0.258,0,0.000,98458,260096,58842
1779512924,14.19,430636,9950128,103,89,0.258,0,0.000,108698,260096,58842
1779512925,15.42,430636,9950128,103,89,0.258,0,0.000,120986,260096,58842
1779512926,14.22,430636,9950128,103,89,0.258,0,0.000,133274,260096,58842
1779512927,15.88,430636,9950128,103,89,0.258,0,0.000,143514,260096,58842
1779512929,14.75,430636,9950128,103,89,0.258,0,0.000,155802,260096,58842
1779512930,14.27,430636,9950128,103,89,0.258,0,0.000,166042,260096,58842
1779512931,14.86,430636,9950128,103,89,0.258,0,0.000,176282,260096,58842
1779512932,14.22,430636,9950128,103,89,0.258,0,0.000,188570,260096,58842
1779512933,14.98,430636,9950128,103,89,0.258,0,0.000,198810,260096,58842
1779512934,14.13,430636,9950128,103,89,0.258,0,0.000,211098,260096,58842
1779512935,15.04,430636,9950128,103,89,0.258,0,0.000,223386,260096,58842
1779512937,15.81,430636,9950128,103,89,0.258,0,0.000,233626,260096,58842
1779512938,14.90,430636,9950128,103,90,0.260,0,0.000,98463,260096,58842
1779512939,14.88,430636,9950128,103,90,0.260,0,0.000,110751,260096,58842
1779512940,14.13,430640,9951152,104,90,0.260,0,0.000,120991,260096,58842
1779512941,13.96,430640,9951152,104,90,0.260,0,0.000,131231,260096,58842
1779512942,13.85,430640,9951152,104,90,0.260,0,0.000,143519,260096,58842
1779512943,15.89,430640,9951152,104,90,0.260,0,0.000,155807,260096,58842
1779512945,14.04,430640,9951152,104,90,0.260,0,0.000,166047,260096,58842
1779512946,14.13,430640,9951152,104,90,0.260,0,0.000,178335,260096,58842
1779512947,15.57,430656,9951152,103,90,0.260,0,0.000,188575,260096,58842
1779512948,13.26,430656,9951152,103,90,0.260,0,0.000,198815,260096,58842
1779512949,14.80,430656,9951152,103,90,0.260,0,0.000,211103,260096,58842
1779512950,14.17,430656,9951152,103,90,0.260,0,0.000,221343,260096,58842
1779512951,16.59,430656,9951152,103,90,0.260,0,0.000,233631,260096,58842
1779512952,16.02,430656,9951152,103,91,0.261,0,0.000,94158,260096,58842
1779512954,107.14,432704,10138544,287,91,0.261,0,0.000,184270,260096,58842
1779512955,126.54,432980,10138544,286,92,0.265,0,0.000,114638,247808,58844
1779512956,136.28,437464,10138544,287,92,0.265,0,0.000,200654,247808,58844
1779512957,122.54,434996,10138544,287,93,0.269,0,0.000,153297,260096,58844
1779512958,108.73,434996,10138544,287,93,0.269,0,0.000,239313,260096,58844
1779512959,120.66,435084,10138544,286,94,0.272,0,0.000,178660,260096,58844
1779512961,118.23,435348,10138544,286,95,0.275,0,0.000,117220,260096,58844
1779512962,106.43,435348,10138544,286,95,0.275,0,0.000,197092,260096,58844
1779512963,107.66,435348,10138544,286,96,0.278,0,0.000,133604,260096,58844
1779512964,111.45,435348,10138544,286,96,0.278,0,0.000,221668,260096,58844
1779512965,114.66,435548,10138544,284,97,0.282,0,0.000,156145,260096,58844
1779512966,106.02,435548,10138544,284,97,0.282,0,0.000,236017,260096,58844
1779512967,118.78,435548,10138544,284,98,0.285,0,0.000,170481,260096,58844
1779512969,107.54,435548,10138544,284,99,0.288,0,0.000,109041,260096,58844
1779512970,116.52,435572,10138544,282,99,0.288,0,0.000,193009,260096,58844
1779512971,109.61,435572,10138544,282,100,0.291,0,0.000,128630,260096,58844
1779512972,105.79,435572,10138544,282,100,0.291,0,0.000,208502,260096,58844
1779512973,120.61,435572,10138544,282,101,0.295,0,0.000,140918,260096,58844
1779512974,111.71,435572,10138544,282,101,0.295,0,0.000,220790,260096,58844
1779512975,109.72,435572,10138544,282,102,0.298,0,0.000,161398,260096,58844
1779512977,114.66,435572,10138544,282,102,0.298,0,0.000,241270,260096,58844
1779512978,108.46,435572,10138544,282,103,0.301,0,0.000,173034,260096,58844
1779512979,117.29,435572,10138544,282,104,0.304,0,0.000,105450,260096,58844
1779512980,109.29,435572,10138544,282,104,0.304,0,0.000,193514,260096,58844
1779512981,110.08,435572,10138544,282,105,0.307,0,0.000,125930,260096,58844
1779512982,113.28,435572,10138544,282,105,0.307,0,0.000,205802,260096,58844
1779512983,106.90,435572,10138544,282,106,0.310,0,0.000,137561,260096,58844
1779512985,107.89,435572,10138544,282,106,0.310,0,0.000,217433,260096,58844
1779512986,122.26,435572,10138544,282,107,0.313,0,0.000,158041,260096,58844
1779512987,114.90,435572,10138544,282,107,0.313,0,0.000,237913,260096,58844
1779512988,110.01,435572,10138544,282,108,0.316,0,0.000,174282,262144,58844
1779512989,108.01,435572,10138544,282,109,0.319,0,0.000,106099,262144,58844
1779512990,104.27,435572,10138544,282,109,0.319,0,0.000,192115,262144,58844
1779512992,129.85,435572,10138544,282,110,0.322,0,0.000,124800,262144,58844
1779512993,107.54,435572,10138544,282,110,0.322,0,0.000,202624,262144,58844
1779512994,27.86,435572,10138544,282,110,0.322,0,0.000,216960,262144,58844
