timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779064043,133.33,193556,5726496,33,9,0.046,0,0.000,24567,58368,38714
1779064044,69.91,195036,5727384,33,10,0.051,0,0.000,36797,58368,38718
1779064045,76.02,195236,5727384,33,12,0.059,0,0.000,35684,59392,38656
1779064046,157.21,212536,5744076,37,15,0.070,0,0.000,46603,65536,38702
1779064048,129.87,223132,5744208,37,18,0.080,0,0.000,56654,73728,38704
1779064049,102.20,230272,5744208,37,21,0.090,0,0.000,58918,80896,38704
1779064050,91.56,252880,5744208,37,23,0.098,0,0.000,79202,97280,38704
1779064051,96.10,253244,5744208,35,25,0.105,0,0.000,74142,97280,38704
1779064052,98.06,258560,5744208,37,27,0.113,0,0.000,76755,103424,38704
1779064053,88.89,258560,5744208,37,29,0.120,0,0.000,78480,101376,38704
1779064054,106.97,274476,5744208,37,31,0.127,0,0.000,88466,118784,38704
1779064056,88.20,274696,5744208,37,33,0.136,0,0.000,81064,131072,38704
1779064057,104.24,288448,5744208,37,34,0.140,0,0.000,114270,131072,38704
1779064058,99.36,293396,5744208,36,36,0.149,0,0.000,99060,147456,38704
1779064059,87.42,306596,5744208,36,37,0.153,0,0.000,127327,148480,38706
1779064060,93.71,306740,5744208,36,39,0.164,0,0.000,103122,164864,38706
1779064061,103.48,325260,5744208,35,40,0.169,0,0.000,127753,165888,38706
1779064063,86.70,325260,5744208,35,41,0.175,0,0.000,138858,164864,38706
1779064064,104.05,346472,5744208,35,43,0.186,0,0.000,115370,187392,38706
1779064065,74.44,347212,5744208,37,43,0.186,0,0.000,163498,187392,38706
1779064066,35.32,347212,5744208,37,44,0.190,0,0.000,128000,184320,38741
1779064067,25.00,347212,5744208,37,44,0.190,0,0.000,147456,184320,38741
1779064068,25.22,347212,5744208,37,44,0.190,0,0.000,167936,184320,38741
1779064069,39.74,355232,5744208,37,45,0.194,0,0.000,132970,195584,38742
1779064071,23.11,355388,5744208,35,45,0.194,0,0.000,152426,195584,38742
1779064072,23.37,355388,5744208,35,45,0.194,0,0.000,172906,195584,38742
1779064073,24.94,355388,5744208,35,46,0.196,0,0.000,131946,195584,38742
1779064074,23.06,355388,5744208,35,46,0.196,0,0.000,152426,195584,38742
1779064075,22.27,355388,5744208,35,46,0.196,0,0.000,171882,195584,38742
1779064076,23.37,355388,5744208,35,47,0.200,0,0.000,122963,195584,38742
1779064077,23.89,355388,5744208,35,47,0.200,0,0.000,143443,195584,38742
1779064079,23.74,355388,5744208,35,47,0.200,0,0.000,162899,195584,38742
1779064080,21.79,355388,5744208,35,47,0.200,0,0.000,182355,195584,38742
1779064081,39.82,355388,5744208,35,48,0.202,0,0.000,134227,195584,38742
1779064082,22.81,355388,5744208,35,48,0.202,0,0.000,154707,195584,38742
1779064083,22.32,355388,5744208,35,48,0.202,0,0.000,175187,195584,38742
1779064084,24.00,355388,5744208,35,49,0.205,0,0.000,127059,195584,38742
1779064085,21.82,355388,5744208,35,49,0.205,0,0.000,146515,195584,38742
1779064087,21.01,355388,5744208,35,49,0.205,0,0.000,165971,195584,38742
1779064088,21.05,355388,5744208,35,50,0.208,0,0.000,117184,196608,38742
1779064089,21.88,355388,5744208,35,50,0.208,0,0.000,137664,196608,38742
1779064090,21.10,355388,5744208,35,50,0.208,0,0.000,157120,196608,38742
1779064091,21.15,355388,5744208,35,50,0.208,0,0.000,176576,196608,38742
1779064092,37.39,355388,5744208,35,51,0.210,0,0.000,125376,196608,38742
1779064093,21.52,355912,5744208,35,51,0.210,0,0.000,145856,196608,38742
1779064095,21.15,355912,5744208,35,51,0.210,0,0.000,166336,196608,38742
1779064096,21.10,355912,5744208,35,52,0.213,0,0.000,115136,195584,38742
1779064097,20.82,355484,5744208,35,52,0.213,0,0.000,135616,195584,38742
1779064098,19.64,355484,5744208,35,52,0.213,0,0.000,155072,195584,38742
1779064099,20.92,355484,5744208,35,52,0.213,0,0.000,174528,195584,38742
1779064100,20.87,355484,5744208,35,53,0.217,0,0.000,123991,196608,38742
1779064101,19.56,355484,5744208,35,53,0.217,0,0.000,145495,196608,38742
1779064103,19.73,355484,5744208,35,53,0.217,0,0.000,165975,196608,38742
1779064104,19.26,355484,5744208,35,54,0.220,0,0.000,114775,196608,38742
1779064105,37.31,355484,5744208,35,54,0.220,0,0.000,134231,196608,38742
1779064106,140.72,375116,5744208,37,60,0.303,0,0.000,204800,437248,38742
1779064107,358.05,567996,5744208,36,62,0.335,0,0.000,338322,421888,38690
1779064109,322.70,578556,5744208,36,65,0.368,0,0.000,188222,424960,38690
1779064110,327.63,602052,5744208,36,66,0.375,0,0.000,375105,429056,38690
1779064111,344.15,602844,5744208,36,68,0.391,0,0.000,275777,423936,38690
1779064113,311.37,602844,5744208,36,70,0.408,0,0.000,230999,424960,38690
1779064114,330.26,602844,5744208,36,72,0.437,0,0.000,146878,424960,38690
1779064115,333.46,602844,5744208,36,73,0.448,0,0.000,305598,421888,38690
1779064117,315.75,602844,5744208,36,75,0.470,0,0.000,263826,419840,38690
1779064118,323.05,602872,5744208,35,77,0.496,0,0.000,175397,416768,38690
1779064120,318.79,602872,5744208,35,79,0.526,0,0.000,133986,416768,38690
1779064121,345.72,602872,5744208,35,80,0.535,0,0.000,323088,423936,38690
1779064122,325.05,602872,5744208,35,82,0.552,0,0.000,245584,420864,38690
1779064124,321.20,602872,5744208,35,84,0.573,0,0.000,187392,422912,38690
1779064125,326.81,602872,5744208,35,85,0.580,0,0.000,354304,429056,38690
1779064126,323.08,602872,5744208,35,87,0.599,0,0.000,273082,427008,38690
1779064128,319.39,602872,5744208,35,89,0.621,0,0.000,179898,422912,38690
1779064129,320.00,602872,5744208,35,91,0.647,0,0.000,128579,423936,38690
1779064130,343.16,602872,5744208,35,92,0.661,0,0.000,311875,417792,38690
1779064132,306.06,602872,5744208,35,94,0.684,0,0.000,243508,420864,38690
1779064133,321.71,602872,5744208,35,96,0.708,0,0.000,207923,415744,38690
1779064135,341.26,602872,5744208,35,98,0.719,0,0.000,366916,421888,38690
1779064136,320.00,602872,5744208,35,99,0.743,0,0.000,322060,424960,38690
1779064137,335.00,602872,5744208,35,101,0.760,0,0.000,264716,429056,38690
1779064139,319.39,602872,5744208,35,103,0.784,0,0.000,171401,421888,38690
1779064140,321.95,602872,5744208,35,105,0.805,0,0.000,143460,422912,38690
1779064141,324.21,602872,5744208,35,106,0.815,0,0.000,326756,424960,38690
1779064143,332.50,602872,5744208,35,108,0.832,0,0.000,232219,423936,38690
1779064144,341.70,602872,5744208,35,110,0.858,0,0.000,120603,421888,38690
1779064145,303.81,602872,5744208,35,111,0.870,0,0.000,222386,422912,38690
1779064147,20.56,602872,5744208,37,111,0.870,0,0.000,222386,422912,38690
