timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1780455900,0.00,190716,5726784,33,8,0.039,0,0.000,20957,56320,38715
1780455901,0.00,190716,5726784,33,8,0.039,0,0.000,20957,56320,38715
1780455902,0.00,190716,5726784,33,8,0.039,0,0.000,20957,56320,38715
1780455903,120.35,209608,5743180,37,10,0.047,0,0.000,27648,61440,38717
1780455905,62.20,212960,5743180,37,10,0.047,0,0.000,48128,61440,38717
1780455906,28.21,213576,5743180,37,11,0.049,0,0.000,41984,61440,38718
1780455907,22.61,213576,5743180,37,12,0.051,0,0.000,33835,61440,38718
1780455908,21.65,213672,5743180,36,13,0.053,0,0.000,25643,61440,38718
1780455909,20.69,213672,5743180,36,13,0.053,0,0.000,45099,61440,38718
1780455910,26.26,213672,5743180,36,14,0.054,0,0.000,35883,61440,38718
1780455912,23.38,213672,5743180,36,15,0.056,0,0.000,25643,61440,38718
1780455913,22.66,213672,5743180,36,15,0.056,0,0.000,45099,61440,38718
1780455914,22.42,213936,5743180,36,16,0.059,0,0.000,33058,60416,38718
1780455915,21.33,213936,5743180,36,16,0.059,0,0.000,51490,60416,38718
1780455916,27.37,213988,5743180,35,17,0.060,0,0.000,41250,60416,38718
1780455917,24.11,213988,5743180,35,18,0.062,0,0.000,29986,61440,38718
1780455918,21.37,213988,5743180,35,18,0.062,0,0.000,49442,61440,38718
1780455920,22.22,213988,5743180,35,19,0.063,0,0.000,34858,61440,38718
1780455921,22.12,213988,5743180,35,19,0.063,0,0.000,54314,61440,38718
1780455922,26.55,213988,5743180,35,20,0.065,0,0.000,41002,60416,38718
1780455923,22.52,213988,5743180,35,21,0.066,0,0.000,28714,60416,38719
1780455924,23.84,213988,5743180,35,21,0.066,0,0.000,49194,60416,38719
1780455925,21.83,213988,5743180,35,22,0.069,0,0.000,35640,60416,38719
1780455926,21.83,213988,5743180,35,22,0.069,0,0.000,55096,60416,38719
1780455927,28.51,213988,5743180,35,23,0.070,0,0.000,41784,61440,38719
1780455929,20.65,213988,5743180,35,24,0.072,0,0.000,27448,60416,38719
1780455930,22.71,213988,5743180,35,24,0.072,0,0.000,47928,60416,38719
1780455931,23.21,213988,5743180,35,25,0.074,0,0.000,33316,61440,38719
1780455932,22.08,213988,5743180,35,25,0.074,0,0.000,53796,61440,38719
1780455933,27.02,213988,5743180,35,26,0.076,0,0.000,38534,61440,38719
1780455934,21.88,213988,5743180,35,27,0.077,0,0.000,25244,60416,38719
1780455935,22.22,213988,5743180,35,27,0.077,0,0.000,44700,60416,38719
