timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779419118,0.00,205424,8484868,42,7,0.028,0,0.000,38935,55296,37707
1779419119,0.00,205424,8484868,42,7,0.028,0,0.000,38935,55296,37707
1779419120,0.00,205424,8484868,42,7,0.028,0,0.000,38935,55296,37707
1779419121,123.28,244144,9378848,55,9,0.036,0,0.000,25870,61440,38879
1779419122,64.36,248216,9378848,55,10,0.038,0,0.000,44662,63488,38688
1779419124,22.08,248244,9378848,55,11,0.040,0,0.000,38518,63488,38688
1779419125,22.30,249748,9378848,53,12,0.048,0,0.000,31844,63488,38688
1779419126,21.24,249756,9378848,52,12,0.048,0,0.000,50276,63488,38688
1779419127,21.62,249756,9378848,52,13,0.050,0,0.000,42084,63488,38688
1779419128,26.20,249756,9378848,52,14,0.051,0,0.000,31844,63488,38688
1779419129,22.47,249756,9378848,52,14,0.051,0,0.000,52324,63488,38688
1779419130,20.40,249756,9378848,52,15,0.052,0,0.000,42084,63488,38688
1779419131,20.38,249756,9378848,52,16,0.054,0,0.000,29365,63488,38688
1779419133,19.60,249756,9378848,52,16,0.054,0,0.000,49845,63488,38688
1779419134,28.54,249756,9378848,52,17,0.055,0,0.000,37557,63488,38688
1779419135,19.96,249756,9378848,52,18,0.056,0,0.000,27317,63488,38688
1779419136,19.80,249756,9378848,52,18,0.056,0,0.000,47797,63488,38688
1779419137,20.44,249756,9378848,52,19,0.058,0,0.000,37125,63488,38689
1779419138,20.40,249756,9378848,52,20,0.060,0,0.000,24837,63488,38689
1779419139,26.17,249756,9378848,52,20,0.060,0,0.000,45317,63488,38689
1779419141,20.31,249756,9378848,52,21,0.062,0,0.000,35077,63488,38689
1779419142,20.49,249756,9378848,52,22,0.064,0,0.000,24510,63488,38689
1779419143,22.12,249756,9378848,52,22,0.064,0,0.000,44990,63488,38689
1779419144,25.52,249756,9378848,52,23,0.065,0,0.000,30654,63488,38689
1779419145,19.69,249756,9378848,52,23,0.065,0,0.000,51134,63488,38689
1779419146,21.55,249756,9378848,52,24,0.066,0,0.000,36798,63488,38689
1779419147,19.64,249756,9378848,52,25,0.070,0,0.000,23934,63488,38689
1779419148,20.24,249756,9378848,52,25,0.070,0,0.000,44414,63488,38689
1779419150,26.46,249756,9378848,52,26,0.071,0,0.000,32337,63488,38689
1779419151,19.45,249756,9378848,52,26,0.071,0,0.000,50769,63488,38689
1779419152,22.27,249756,9378848,52,27,0.072,0,0.000,40570,63488,38689
1779419153,20.33,249756,9378848,52,28,0.075,0,0.000,27965,63488,38689
1779419154,20.29,249756,9378848,52,28,0.075,0,0.000,46397,63488,38689
1779419155,27.65,249756,9378848,52,29,0.077,0,0.000,34346,63488,38689
1779419156,19.45,249756,9378848,52,29,0.077,0,0.000,52778,63488,38689
1779419157,20.44,249756,9378848,52,30,0.078,0,0.000,40535,63488,38689
1779419159,21.17,249756,9378848,52,31,0.080,0,0.000,25966,63488,38689
1779419160,19.53,249756,9378848,52,31,0.080,0,0.000,46446,63488,38689
1779419161,27.80,249756,9378848,52,32,0.081,0,0.000,34280,63488,38665
1779419162,20.44,249756,9378848,52,32,0.081,0,0.000,52712,63488,38665
1779419163,20.40,249756,9378848,52,33,0.083,0,0.000,40455,63488,38665
1779419164,20.24,249756,9378848,52,34,0.085,0,0.000,27948,63488,38665
1779419165,21.45,249756,9378848,52,34,0.085,0,0.000,46380,63488,38665
1779419167,28.83,249756,9378848,52,35,0.086,0,0.000,36259,63488,38665
1779419168,18.50,249756,9378848,52,35,0.086,0,0.000,54691,63488,38665
1779419169,21.26,249756,9378848,52,36,0.088,0,0.000,42418,63488,38666
1779419170,20.40,249756,9378848,52,37,0.091,0,0.000,29821,63488,38666
1779419171,19.56,249756,9378848,52,37,0.091,0,0.000,48253,63488,38666
1779419172,26.64,249756,9378848,52,38,0.092,0,0.000,36025,63488,38666
1779419173,19.69,249756,9378848,52,38,0.092,0,0.000,54457,63488,38666
1779419174,21.22,249756,9378848,52,39,0.093,0,0.000,42199,63488,38666
1779419176,21.24,249756,9378848,52,40,0.097,0,0.000,29573,63488,38666
1779419177,21.43,250280,9378848,52,40,0.097,0,0.000,50053,63488,38666
1779419178,27.16,250280,9378848,52,41,0.099,0,0.000,35717,63488,38666
1779419179,20.67,250076,9378848,52,42,0.100,0,0.000,23458,63488,38666
1779419180,21.19,250076,9378848,52,42,0.100,0,0.000,41890,63488,38666
