timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779081204,0.00,713340,9378848,52,110,0.537,0,0.000,233400,489472,39232
1779081205,0.00,713340,9378848,52,110,0.537,0,0.000,233400,489472,39232
1779081206,0.00,713340,9378848,52,110,0.537,0,0.000,233400,489472,39232
1779081207,16.07,713340,9378848,53,110,0.537,0,0.000,251832,489472,39232
1779081208,18.42,713340,9378848,53,110,0.537,0,0.000,270264,489472,39232
1779081209,17.74,713340,9378848,53,110,0.537,0,0.000,288696,489472,39232
1779081211,19.34,713340,9378848,53,110,0.537,0,0.000,309176,489472,39232
1779081212,19.32,713600,9378848,52,110,0.537,0,0.000,329656,489472,39232
1779081213,18.60,713600,9378848,52,110,0.537,0,0.000,348088,489472,39232
1779081214,18.58,713600,9378848,52,110,0.537,0,0.000,366520,489472,39232
1779081215,18.69,713600,9378848,52,110,0.537,0,0.000,387000,489472,39232
1779081216,20.80,713600,9378848,52,110,0.537,0,0.000,407480,489472,39232
1779081217,17.78,713600,9378848,52,110,0.537,0,0.000,427960,489472,39232
1779081218,42.43,713600,9378848,52,111,0.540,0,0.000,171032,512000,39232
1779081220,20.29,713600,9378848,52,111,0.540,0,0.000,189464,512000,39232
1779081221,22.08,713600,9378848,52,111,0.540,0,0.000,211992,512000,39232
1779081222,20.29,713600,9378848,52,111,0.540,0,0.000,232472,512000,39232
1779081223,18.48,713600,9378848,52,111,0.540,0,0.000,252952,512000,39232
1779081224,19.21,713600,9378848,52,111,0.540,0,0.000,269336,512000,39232
1779081225,19.53,713600,9378848,52,111,0.540,0,0.000,291864,512000,39232
1779081226,18.60,713600,9378848,52,111,0.540,0,0.000,310296,512000,39232
1779081228,18.50,713600,9378848,52,111,0.540,0,0.000,328728,512000,39232
1779081229,18.69,713600,9378848,52,111,0.540,0,0.000,347160,512000,39232
1779081230,18.63,713600,9378848,52,111,0.540,0,0.000,367640,512000,39232
1779081231,19.47,713600,9378848,52,111,0.540,0,0.000,388120,512000,39232
1779081232,18.54,713600,9378848,52,111,0.540,0,0.000,406552,512000,39232
1779081233,19.28,713600,9378848,52,111,0.540,0,0.000,427032,512000,39232
1779081234,19.58,713600,9378848,52,111,0.540,0,0.000,447512,512000,39232
1779081235,20.31,713600,9378848,52,112,0.542,0,0.000,164888,514048,39232
1779081237,17.86,713600,9378848,52,112,0.542,0,0.000,187416,514048,39232
1779081238,21.15,713600,9378848,52,112,0.542,0,0.000,207896,514048,39232
1779081239,18.54,713600,9378848,52,112,0.542,0,0.000,226328,514048,39232
1779081240,19.49,713600,9378848,52,112,0.542,0,0.000,246808,514048,39232
1779081241,18.52,713600,9378848,52,112,0.542,0,0.000,265240,514048,39232
1779081242,18.71,713600,9378848,52,112,0.542,0,0.000,285720,514048,39232
1779081243,18.60,713600,9378848,52,112,0.542,0,0.000,304152,514048,39232
1779081245,20.20,713600,9378848,52,112,0.542,0,0.000,324632,514048,39232
1779081246,18.50,713600,9378848,52,112,0.542,0,0.000,343064,514048,39232
1779081247,19.56,713600,9378848,52,112,0.542,0,0.000,363544,514048,39232
1779081248,19.30,713600,9378848,52,112,0.542,0,0.000,381976,514048,39232
1779081249,17.90,713600,9378848,52,112,0.542,0,0.000,402456,514048,39232
1779081250,19.51,713600,9378848,52,112,0.542,0,0.000,420888,514048,39232
1779081251,18.83,713600,9378848,52,112,0.542,0,0.000,441368,514048,39232
1779081252,20.33,713600,9378848,52,113,0.545,0,0.000,153459,514048,39232
1779081254,21.36,713600,9378848,52,113,0.545,0,0.000,175987,514048,39232
1779081255,18.69,713600,9378848,52,113,0.545,0,0.000,196467,514048,39232
1779081256,19.62,713600,9378848,52,113,0.545,0,0.000,214899,514048,39232
1779081257,18.58,713600,9378848,52,113,0.545,0,0.000,233331,514048,39232
1779081258,19.45,713600,9378848,52,113,0.545,0,0.000,253811,514048,39232
1779081259,18.69,713600,9378848,52,113,0.545,0,0.000,274291,514048,39232
1779081260,17.56,713600,9378848,52,113,0.545,0,0.000,292723,514048,39232
1779081261,19.49,713600,9378848,52,113,0.545,0,0.000,313203,514048,39232
1779081263,18.10,713600,9378848,52,113,0.545,0,0.000,331635,514048,39232
1779081264,17.78,713600,9378848,52,113,0.545,0,0.000,352115,514048,39232
1779081265,19.32,713600,9378848,52,113,0.545,0,0.000,370547,514048,39232
1779081266,18.71,713600,9378848,52,113,0.545,0,0.000,391027,514048,39232
1779081267,256.25,713600,9378848,55,114,0.555,0,0.000,372595,481280,39232
1779081268,368.24,713600,9378848,55,116,0.567,0,0.000,232392,505856,39232
1779081269,405.79,713600,9378848,55,117,0.573,0,0.000,338888,497664,39232
1779081271,387.98,713600,9378848,55,119,0.586,0,0.000,168233,495616,39232
1779081272,429.33,713600,9378848,55,120,0.589,0,0.000,289374,505856,39232
1779081273,388.65,713600,9378848,54,121,0.596,0,0.000,365150,493568,39232
1779081274,362.61,713600,9378848,54,123,0.609,0,0.000,212979,501760,39232
1779081275,413.29,713600,9378848,54,124,0.612,0,0.000,329715,509952,39232
1779081277,363.48,713600,9378848,54,125,0.616,0,0.000,441620,507904,39232
1779081278,377.11,713864,9378848,53,127,0.628,0,0.000,242964,499712,39232
1779081279,382.42,713864,9378848,53,128,0.633,0,0.000,365013,503808,39232
1779081280,394.46,713864,9378848,53,129,0.638,0,0.000,436693,503808,39232
1779081281,388.21,713864,9378848,53,131,0.647,0,0.000,255847,507904,39232
1779081283,413.21,714124,9378848,53,132,0.655,0,0.000,372583,489472,39232
1779081284,391.53,714124,9378848,53,134,0.666,0,0.000,217530,503808,39232
1779081285,409.47,714124,9378848,53,135,0.673,0,0.000,319930,495616,39232
1779081286,386.93,713936,9378848,53,136,0.677,0,0.000,402045,505856,39232
1779081287,376.32,714188,9378848,52,138,0.688,0,0.000,244066,503808,39232
1779081289,406.78,714188,9378848,52,139,0.695,0,0.000,364898,493568,39232
1779081290,391.69,714188,9378848,52,141,0.705,0,0.000,204862,499712,39232
1779081291,413.82,714188,9378848,52,142,0.709,0,0.000,313406,505856,39232
1779081292,377.78,714188,9378848,52,143,0.715,0,0.000,386808,499712,39232
1779081293,390.08,714188,9378848,52,145,0.725,0,0.000,227064,503808,39232
1779081295,391.02,714188,9378848,52,146,0.730,0,0.000,347666,505856,39232
1779081296,446.02,714188,9378848,52,148,0.744,0,0.000,179730,491520,39232
1779081297,386.38,714188,9378848,52,149,0.749,0,0.000,284290,501760,39232
1779081298,398.73,714188,9378848,52,150,0.757,0,0.000,366210,489472,39232
1779081299,344.37,714188,9378848,52,152,0.770,0,0.000,191942,501760,39232
1779081301,421.37,714188,9378848,52,153,0.774,0,0.000,312774,505856,39232
1779081302,361.72,714188,9378848,52,155,0.781,0,0.000,433606,493568,39232
1779081303,406.72,714188,9378848,52,156,0.798,0,0.000,265477,491520,39232
1779081304,382.80,714188,9378848,52,157,0.803,0,0.000,386325,501760,39232
1779081305,364.84,714188,9378848,52,159,0.815,0,0.000,175181,507904,39232
1779081306,358.30,714188,9378848,52,160,0.820,0,0.000,203853,499712,39232
1779081308,3.55,714188,9378848,55,160,0.820,0,0.000,203853,499712,39232
