timestamp,cpu_pct,mem_rss_kb,mem_vsz_kb,threads_total,ygc,ygc_time_s,fgc,fgc_time_s,heap_used_kb,heap_capacity_kb,metaspace_used_kb
1779331209,0.00,690648,5742732,35,86,0.747,0,0.000,218341,505856,38654
1779331210,0.00,690648,5742732,35,86,0.747,0,0.000,218341,505856,38654
1779331212,0.00,690648,5742732,35,86,0.747,0,0.000,220389,505856,38654
1779331213,23.58,691428,5742732,37,86,0.747,0,0.000,241893,505856,38654
1779331214,22.22,691428,5742732,37,86,0.747,0,0.000,261349,505856,38654
1779331215,20.13,691428,5742732,37,86,0.747,0,0.000,280805,505856,38654
1779331216,21.55,691428,5742732,37,86,0.747,0,0.000,302309,505856,38654
1779331217,21.10,691668,5742732,35,86,0.747,0,0.000,320741,505856,38654
1779331219,19.96,691668,5742732,35,86,0.747,0,0.000,342245,505856,38654
1779331220,22.22,691668,5742732,35,86,0.747,0,0.000,363749,505856,38654
1779331221,20.18,691668,5742732,35,86,0.747,0,0.000,384229,505856,38654
1779331222,21.99,691668,5742732,35,86,0.747,0,0.000,402661,505856,38654
1779331223,20.78,691668,5742732,35,86,0.747,0,0.000,423141,505856,38654
1779331224,19.17,691668,5742732,35,86,0.747,0,0.000,444645,505856,38654
1779331226,47.46,691668,5742732,35,87,0.752,0,0.000,170213,519168,38654
1779331227,19.74,691668,5742732,35,87,0.752,0,0.000,189669,519168,38654
1779331228,21.46,691668,5742732,35,87,0.752,0,0.000,211173,519168,38654
1779331229,21.51,691668,5742732,35,87,0.752,0,0.000,229605,519168,38654
1779331230,19.45,691668,5742732,35,87,0.752,0,0.000,251109,519168,38654
1779331231,22.32,691668,5742732,35,87,0.752,0,0.000,271589,519168,38654
1779331233,20.73,691668,5742732,35,87,0.752,0,0.000,290021,519168,38654
1779331234,20.47,691668,5742732,35,87,0.752,0,0.000,312549,519168,38654
1779331235,21.37,691668,5742732,35,87,0.752,0,0.000,330981,519168,38654
1779331236,20.04,691668,5742732,35,87,0.752,0,0.000,350437,519168,38654
1779331237,19.13,691668,5742732,35,87,0.752,0,0.000,371941,519168,38654
1779331238,21.37,691668,5742732,35,87,0.752,0,0.000,392421,519168,38654
1779331240,20.47,691668,5742732,35,87,0.752,0,0.000,413925,519168,38654
1779331241,20.56,691668,5742732,35,87,0.752,0,0.000,432357,519168,38654
1779331242,20.78,691668,5742732,35,87,0.752,0,0.000,452837,519168,38654
1779331243,19.91,691668,5742732,35,88,0.755,0,0.000,164069,519168,38654
